sentence,lemma,token,target,left,right
"Mr President, I would like to begin by congratulating our rapporteur, Mr Schmitt, on his report which now brings a sensible compromise to the original Commission proposal.",proposal,proposal,false,"Mr President, I would like to begin by congratulating our rapporteur, Mr Schmitt, on his report which now brings a sensible compromise to the original Commission ",.
"However, my own view was that the scope of the original Commission proposal was too broad and there were a considerable number of concerns regarding the issues of sovereignty, the regulatory framework and in particular the autonomy of the proposed agency.",view,view,true,"However, my own "," was that the scope of the original Commission proposal was too broad and there were a considerable number of concerns regarding the issues of sovereignty, the regulatory framework and in particular the autonomy of the proposed agency."
"However, my own view was that the scope of the original Commission proposal was too broad and there were a considerable number of concerns regarding the issues of sovereignty, the regulatory framework and in particular the autonomy of the proposed agency.",proposal,proposal,false,"However, my own view was that the scope of the original Commission "," was too broad and there were a considerable number of concerns regarding the issues of sovereignty, the regulatory framework and in particular the autonomy of the proposed agency."
"It must be emphasised that, as with national civil aviation authorities which quite clearly deal solely with safety matters, this agency should not be drawn into dealing with other aspects, such as environmental and competition issues.",matter,matters,false,"It must be emphasised that, as with national civil aviation authorities which quite clearly deal solely with safety ",", this agency should not be drawn into dealing with other aspects, such as environmental and competition issues."
"It must be emphasised that, as with national civil aviation authorities which quite clearly deal solely with safety matters, this agency should not be drawn into dealing with other aspects, such as environmental and competition issues.",issue,issues,false,"It must be emphasised that, as with national civil aviation authorities which quite clearly deal solely with safety matters, this agency should not be drawn into dealing with other aspects, such as environmental and competition ",.
"It should also be emphasised that efforts should continue to be concentrated on achieving uniform applicability of ICAO, JAA and Eurocontrol standards that are already in existence.",effort,efforts,false,It should also be emphasised that ," should continue to be concentrated on achieving uniform applicability of ICAO, JAA and Eurocontrol standards that are already in existence."
"Mr President, Madam Vice-President, ladies and gentlemen, Mr Schmitt 's excellent draft report puts us on the right track, but we are still not quite at our destination.",destination,destination,false,"Mr President, Madam Vice-President, ladies and gentlemen, Mr Schmitt 's excellent draft report puts us on the right track, but we are still not quite at our ",.
That is our objective.,objective,objective,true,That is our ,.
One of the key elements in achieving this objective is an Aviation Safety Agency that is capable of guaranteeing a uniform and high level of safety in the air on its own responsibility and with good organisation.,objective,objective,true,One of the key elements in achieving this , is an Aviation Safety Agency that is capable of guaranteeing a uniform and high level of safety in the air on its own responsibility and with good organisation.
So we want other directors of the Agency to be appointed on the proposal of the Executive Director and hence on his responsibility.,proposal,proposal,false,So we want other directors of the Agency to be appointed on the , of the Executive Director and hence on his responsibility.
"I welcome her work, by means of which a most effective option has been put in our hands, partly through Article 2 's listing of all offences. Another reason for me to vote in favour of it was that the Commission had declared in its document, albeit without binding itself, that it would consider preparing legislation that provided for sanctions under criminal law on illicit activities in connection with nuclear materials.",option,option,false,"I welcome her work, by means of which a most effective "," has been put in our hands, partly through Article 2 's listing of all offences. Another reason for me to vote in favour of it was that the Commission had declared in its document, albeit without binding itself, that it would consider preparing legislation that provided for sanctions under criminal law on illicit activities in connection with nuclear materials."
"I welcome her work, by means of which a most effective option has been put in our hands, partly through Article 2 's listing of all offences. Another reason for me to vote in favour of it was that the Commission had declared in its document, albeit without binding itself, that it would consider preparing legislation that provided for sanctions under criminal law on illicit activities in connection with nuclear materials.",reason,reason,true,"I welcome her work, by means of which a most effective option has been put in our hands, partly through Article 2 's listing of all offences. Another "," for me to vote in favour of it was that the Commission had declared in its document, albeit without binding itself, that it would consider preparing legislation that provided for sanctions under criminal law on illicit activities in connection with nuclear materials."
"Indeed, calls to allow Member States to equate breaches of EU environmental law with a criminal offence will give a strong and positive signal that the EU is a serious player in the environmental domain.",call,calls,true,"Indeed, ", to allow Member States to equate breaches of EU environmental law with a criminal offence will give a strong and positive signal that the EU is a serious player in the environmental domain.
"I tabled this because Mark Forrester, my constituent, was convicted in Belgium after the Euro 2000 match, even though the British Intelligence Service offered video evidence to the Belgian authorities showing him walking away from the problems and the violence.",this,this,false,I tabled ," because Mark Forrester, my constituent, was convicted in Belgium after the Euro 2000 match, even though the British Intelligence Service offered video evidence to the Belgian authorities showing him walking away from the problems and the violence."
"I voted for amendments initiated by the European Free Alliance Members, drawing attention to the fact that in at least one Member State there exists more than one national football team.",fact,fact,true,"I voted for amendments initiated by the European Free Alliance Members, drawing attention to the ", that in at least one Member State there exists more than one national football team.
"My own country, for example, is represented by an international team despite the fact that Scotland is not yet an independent Member State, and Scotland 's supporters have for years had an unparalleled reputation for their good behaviour and good humour.",fact,fact,true,"My own country, for example, is represented by an international team despite the "," that Scotland is not yet an independent Member State, and Scotland 's supporters have for years had an unparalleled reputation for their good behaviour and good humour."
I fully support the move to create a European network of permanent national football information points.,move,move,unclear,I fully support the , to create a European network of permanent national football information points.
"Equally, it remains the preserve of the 15 Member States of the EU to maintain law and order within their own countries while safeguarding their internal security.",law,law,false,"Equally, it remains the preserve of the 15 Member States of the EU to maintain ", and order within their own countries while safeguarding their internal security.
The conclusions of the Tampere European Council certainly present strong political support for reaffirming the Union 's wish to overcome difficulties with regard to prosecuting all forms of cross-border crime.,conclusion,conclusions,false,The , of the Tampere European Council certainly present strong political support for reaffirming the Union 's wish to overcome difficulties with regard to prosecuting all forms of cross-border crime.
The conclusions of the Tampere European Council certainly present strong political support for reaffirming the Union 's wish to overcome difficulties with regard to prosecuting all forms of cross-border crime.,wish,wish,true,The conclusions of the Tampere European Council certainly present strong political support for reaffirming the Union 's , to overcome difficulties with regard to prosecuting all forms of cross-border crime.
The conclusions of the Tampere European Council certainly present strong political support for reaffirming the Union 's wish to overcome difficulties with regard to prosecuting all forms of cross-border crime.,difficulty,difficulties,false,The conclusions of the Tampere European Council certainly present strong political support for reaffirming the Union 's wish to overcome , with regard to prosecuting all forms of cross-border crime.
I fully support the prosecution of such crime while ensuring that the freedoms and legal rights of individuals are protected.,right,rights,false,I fully support the prosecution of such crime while ensuring that the freedoms and legal , of individuals are protected.
Earlier today I voted against Mr Marinho 's report on the proposal for a Council regulation to determine which Member State will be responsible for processing asylum applications lodged by third-country nationals.,proposal,proposal,false,Earlier today I voted against Mr Marinho 's report on the , for a Council regulation to determine which Member State will be responsible for processing asylum applications lodged by third-country nationals.
"As and when this Council regulation is imposed, will it improve the situation or will France continue to play wing three-quarters with its illegal immigrants?",situation,situation,false,"As and when this Council regulation is imposed, will it improve the ", or will France continue to play wing three-quarters with its illegal immigrants?
The President stopped me exercising my right of free speech.,right,right,false,The President stopped me exercising my , of free speech.
"Despite the fact that the draft agreement remains fairly secretive, I read it with great care.",fact,fact,true,Despite the ," that the draft agreement remains fairly secretive, I read it with great care."
"It seems to me that it represents faithfully the conclusions of the Nice European Council, that the security interests not only of the European Union but also of Turkey should be guaranteed by the operation of the rapid reaction force.",conclusion,conclusions,true,It seems to me that it represents faithfully the ," of the Nice European Council, that the security interests not only of the European Union but also of Turkey should be guaranteed by the operation of the rapid reaction force."
Back at that stage the dangers that could result from support of that kind should have been pointed out.,danger,dangers,false,Back at that stage the , that could result from support of that kind should have been pointed out.
"The European Union needs to play a stronger role than it has up to now as the guardian of international law, something that requires us to have a high degree of independence and the courage of our convictions.",courage,courage,false,"The European Union needs to play a stronger role than it has up to now as the guardian of international law, something that requires us to have a high degree of independence and the ", of our convictions.
"The European Union needs to play a stronger role than it has up to now as the guardian of international law, something that requires us to have a high degree of independence and the courage of our convictions.",conviction,convictions,false,"The European Union needs to play a stronger role than it has up to now as the guardian of international law, something that requires us to have a high degree of independence and the courage of our ",.
"The north-west of England has many deep and longstanding commitments in all its industry to working alongside skilled and professional colleagues throughout the European Union. They have hopes of participating in the future, for example, in the Galileo Project, whether or not it has a defence role.",hope,hopes,true,The north-west of England has many deep and longstanding commitments in all its industry to working alongside skilled and professional colleagues throughout the European Union. They have ," of participating in the future, for example, in the Galileo Project, whether or not it has a defence role."
"For strategic military reasons of course but also for the advanced technology which can often be put to civilian use and for the contribution to local communities in terms of jobs, infrastructure and profit.",reason,reasons,false,For strategic military ," of course but also for the advanced technology which can often be put to civilian use and for the contribution to local communities in terms of jobs, infrastructure and profit."
"For example, what is the control and restraint on arms exports going to do to the sovereign rights of Member States?",right,rights,false,"For example, what is the control and restraint on arms exports going to do to the sovereign ", of Member States?
Why should absolute priority be given to fulfilling the capabilities requirement of the EDSP?,requirement,requirement,false,Why should absolute priority be given to fulfilling the capabilities , of the EDSP?
"But generally these objectives are to be welcomed and, with a little finessing, I am sure can work.",objective,objectives,false,But generally these ," are to be welcomed and, with a little finessing, I am sure can work."
I support those broad objectives.,objective,objectives,false,I support those broad ,.
"Mr President, Mr Titley asked the Commission to reply to a very detailed question about the Court of Justice rulings on the use of Article 296.",question,question,false,"Mr President, Mr Titley asked the Commission to reply to a very detailed ", about the Court of Justice rulings on the use of Article 296.
"Mr President, Mr Titley asked the Commission to reply to a very detailed question about the Court of Justice rulings on the use of Article 296.",ruling,rulings,false,"Mr President, Mr Titley asked the Commission to reply to a very detailed question about the Court of Justice ", on the use of Article 296.
"The Tenet and Mitchell proposals are still on the table and, together with the recent proposals from the Saudi Arabian government, they too provide a basis for the resumption of peace talks if there is a full compliance with the recent UN resolutions by the Israeli government.",proposal,proposals,false,The Tenet and Mitchell , 
"The Tenet and Mitchell proposals are still on the table and, together with the recent proposals from the Saudi Arabian government, they too provide a basis for the resumption of peace talks if there is a full compliance with the recent UN resolutions by the Israeli government.",proposal,proposals,false,The Tenet and Mitchell , 
"In fact, his policies have lead to less security for Israel and less peace for the region as a whole.",fact,fact,false,In ,", his policies have lead to less security for Israel and less peace for the region as a whole."
"However, that statement should not obscure what this conflict is really all about.",statement,statement,true,"However, that ", should not obscure what this conflict is really all about.
The Israelis have always been denied the right to a life free from terror.,right,right,true,The Israelis have always been denied the , to a life free from terror.
We Europeans should not let our influence be diminished still further by creating the impression that we are no longer capable of distinguishing between cause and effect.,impression,impression,true,We Europeans should not let our influence be diminished still further by creating the , that we are no longer capable of distinguishing between cause and effect.
We need to make demands of both sides.,demand,demands,false,We need to make , of both sides.
"Mr President, Madam Vice-President, I believe that it is vital for the Council to take a rapid decision on what we will be approving at second reading tomorrow.",decision,decision,false,"Mr President, Madam Vice-President, I believe that it is vital for the Council to take a rapid ", on what we will be approving at second reading tomorrow.
Our requests to the Council with regard to equipping vessels with transponders and voyage data recorders are really very modest.,request,requests,false,Our , to the Council with regard to equipping vessels with transponders and voyage data recorders are really very modest.
"It has been a real labour of Hercules but, despite that, I fear she has not, in the view of the British Conservatives, been able satisfactorily to resolve the issues that have been so vigorously debated in the Legal Affairs Committee.",view,view,false,"It has been a real labour of Hercules but, despite that, I fear she has not, in the "," of the British Conservatives, been able satisfactorily to resolve the issues that have been so vigorously debated in the Legal Affairs Committee."
"It has been a real labour of Hercules but, despite that, I fear she has not, in the view of the British Conservatives, been able satisfactorily to resolve the issues that have been so vigorously debated in the Legal Affairs Committee.",legal,Legal,false,"It has been a real labour of Hercules but, despite that, I fear she has not, in the view of the British Conservatives, been able satisfactorily to resolve the issues that have been so vigorously debated in the ", Affairs Committee.
"Rather it seems to me that, as has already been mentioned by a number of other speakers, there has been a series of real conundrums- serious issues- at the heart of this proposal.",proposal,proposal,false,"Rather it seems to me that, as has already been mentioned by a number of other speakers, there has been a series of real conundrums- serious issues- at the heart of this ",.
"In particular, it indicates the more or less complete impossibility of reconciling our language policy with the needs of those who use and work with patents.",need,needs,undefined,"In particular, it indicates the more or less complete impossibility of reconciling our language policy with the ", of those who use and work with patents.
"In my view, there is no point in having a Community patent, which could be a very useful development in intellectual property law, if those who use and work with patents find it no help.",view,view,false,In my ,", there is no point in having a Community patent, which could be a very useful development in intellectual property law, if those who use and work with patents find it no help."
I am told by industry that the Commission 's proposals could be helpful but what Parliament is proposing will not be.,proposal,proposals,false,I am told by industry that the Commission 's , could be helpful but what Parliament is proposing will not be.
I am the first to confess that I do not think this is a very glorious suggestion but it is a pragmatic one.,suggestion,suggestion,false,I am the first to confess that I do not think this is a very glorious , but it is a pragmatic one.
I believe it is the correct course of action in the circumstance in which we now find ourselves.,circumstance,circumstance,false,I believe it is the correct course of action in the , in which we now find ourselves.
The loosely-framed common position must be tightened up to discourage free-riders who do not take responsibility for their own waste.,position,position,false,The loosely-framed common , must be tightened up to discourage free-riders who do not take responsibility for their own waste.
There is absolutely no question about that fact.,question,question,false,There is absolutely no , about that fact.
There is absolutely no question about that fact.,fact,fact,true,There is absolutely no question about that ,.
It is quite clear that penta and probably octa are really not necessary and that the risks they pose to the environment and human health do not justify their continued use as flame-retardants.,risk,risks,false,It is quite clear that penta and probably octa are really not necessary and that the , they pose to the environment and human health do not justify their continued use as flame-retardants.
For the moment it is an open question.,question,question,true,For the moment it is an open ,.
I hope that we use our intelligence in this question and realise the importance of these substances in protecting human life as flame-retardants.,question,question,true,I hope that we use our intelligence in this , and realise the importance of these substances in protecting human life as flame-retardants.
"Mr President, we have taken on board one idea from among your proposed reforms, that being that this House should be more up-to-date, and should not wait to discuss certain events as late as four years after they happen.",idea,idea,true,"Mr President, we have taken on board one "," from among your proposed reforms, that being that this House should be more up-to-date, and should not wait to discuss certain events as late as four years after they happen."
"Two crucial things have happened in Europe over the last few weeks. One of them is summed up in Germany by the term 'old meat', referring to the fact that meat no longer fit for consumption was found in various German regions and now in other countries too, and we would very much like to hear, from both the Commission and the Council, what is actually being done to check that the same thing is not going on all over Europe.",fact,fact,true,"Two crucial things have happened in Europe over the last few weeks. One of them is summed up in Germany by the term 'old meat', referring to the "," that meat no longer fit for consumption was found in various German regions and now in other countries too, and we would very much like to hear, from both the Commission and the Council, what is actually being done to check that the same thing is not going on all over Europe."
"Secondly, we have to deal with the very disturbing fact that genetically modified rice has been found all over Europe, even though it is prohibited.",fact,fact,true,"Secondly, we have to deal with the very disturbing "," that genetically modified rice has been found all over Europe, even though it is prohibited."
The reason it becomes a European issue is because a little bit of that crossed the border into Austria and Switzerland.,reason,reason,true,The , it becomes a European issue is because a little bit of that crossed the border into Austria and Switzerland.
"Mr President, I oppose this proposal for two reasons.",proposal,proposal,true,"Mr President, I oppose this ", for two reasons.
"Mr President, I oppose this proposal for two reasons.",reason,reasons,true,"Mr President, I oppose this proposal for two ",.
It is an important issue and it gives us the opportunity to discuss the promotion of democracy and speak out against the continued use of capital punishment in Asian countries.,opportunity,opportunity,true,It is an important issue and it gives us the , to discuss the promotion of democracy and speak out against the continued use of capital punishment in Asian countries.
There is another reason.,reason,reason,true,There is another ,.
This is our only opportunity this week to speak out about the military coup in Thailand.,opportunity,opportunity,true,This is our only , this week to speak out about the military coup in Thailand.
"Mr President, what the Committee on the Environment, Public Health and Food Safety has come up with is a feeble compromise, nothing more or less than an invitation to inaction, and if it is accepted, Europe 's clean air policy risks becoming a laughing stock.",invitation,invitation,undefined,"Mr President, what the Committee on the Environment, Public Health and Food Safety has come up with is a feeble compromise, nothing more or less than an "," to inaction, and if it is accepted, Europe 's clean air policy risks becoming a laughing stock."
"We know that 20 gets us nowhere, and nor does 25, so why not vote for the Greens'ambitious proposal of 12?",proposal,proposal,undefined,"We know that 20 gets us nowhere, and nor does 25, so why not vote for the Greens'ambitious ", of 12?
I only wish to say that I support the conclusions of the Ferber report.,conclusion,conclusions,undefined,I only wish to say that I support the , of the Ferber report.
This report argues that there is in fact a breach of faith between the City of Strasbourg and this institution.,fact,fact,undefined,This report argues that there is in , a breach of faith between the City of Strasbourg and this institution.
"I have tried my utmost to avoid mixing up the discussions on Parliament 's seat with the discussions on whether tax money has been well spent. I would like to put it to Parliament today that the only people who have consistently mixed up these two debates have been, firstly, the Mayor of Strasbourg, who, when she addressed us during her hearing, reminded us that having such a debate was in fact quite dangerous because the Alsace region has a very symbolic meaning.",fact,fact,undefined,"I have tried my utmost to avoid mixing up the discussions on Parliament 's seat with the discussions on whether tax money has been well spent. I would like to put it to Parliament today that the only people who have consistently mixed up these two debates have been, firstly, the Mayor of Strasbourg, who, when she addressed us during her hearing, reminded us that having such a debate was in ", quite dangerous because the Alsace region has a very symbolic meaning.
"That is why I should like to use this short time in the sitting today to ask the City of Strasbourg -- if what it says is really true and if it really believes that this is a region that deserves to be honoured -- why is it that since 1979 it has consistently acted in a way that, to put it mildly, is inconsistent with that aim?",aim,aim,undefined,"That is why I should like to use this short time in the sitting today to ask the City of Strasbourg -- if what it says is really true and if it really believes that this is a region that deserves to be honoured -- why is it that since 1979 it has consistently acted in a way that, to put it mildly, is inconsistent with that ",?
"I should just like to point out that, according to the auditors'report, it has not been well spent and that this has in fact been, to put it mildly, ...",fact,fact,undefined,"I should just like to point out that, according to the auditors'report, it has not been well spent and that this has in "," been, to put it mildly, ..."
"Education is a matter that the Member States have to take decisions about, but if the EU and its Member States want to guarantee jobs for their citizens, as well as competitiveness, all our citizens should be included, and investments of time and money should be made in lifelong learning.",decision,decisions,undefined,Education is a matter that the Member States have to take ," about, but if the EU and its Member States want to guarantee jobs for their citizens, as well as competitiveness, all our citizens should be included, and investments of time and money should be made in lifelong learning."
"The rapporteur mentions the need for agreement on shared history, which in my view is an idealistic target that might be attainable in the distant future. One thing that can be achieved, however, is tolerance, which is essential to the existence of the EU.",need,need,undefined,The rapporteur mentions the ," for agreement on shared history, which in my view is an idealistic target that might be attainable in the distant future. One thing that can be achieved, however, is tolerance, which is essential to the existence of the EU."
"The EU Member States cannot have one single overview of their history, because the success of one nation has often meant the failure of another.",failure,failure,undefined,"The EU Member States cannot have one single overview of their history, because the success of one nation has often meant the ", of another.
The idea of a shared European history can be at best only a compromise.,idea,idea,undefined,The , of a shared European history can be at best only a compromise.
"However, given that this is the last month that this will take place, can you give me and this House an assurance that any changes which are to take place regarding Members'interests will be put to the Members of this House the way the change in the Members'voting procedure should have been put to this House in January?",assurance,assurance,true,"However, given that this is the last month that this will take place, can you give me and this House an ", that any changes which are to take place regarding Members'interests will be put to the Members of this House the way the change in the Members'voting procedure should have been put to this House in January?
I was the person who raised an objection to dealing with a matter of substance by way of a corrigendum.,matter,matter,false,I was the person who raised an objection to dealing with a , of substance by way of a corrigendum.
"Apart from the normal aspirations, however, it brings us no closer to the future of Lomé after 2000.",aspiration,aspirations,false,Apart from the normal ,", however, it brings us no closer to the future of Lomé after 2000."
When negotiating EU-ACP agreements it is essential to stress the need for simplification and rationalization of aid instruments with a view to gradual evolution towards direct budgetary support for ACP countries.,need,need,true,When negotiating EU-ACP agreements it is essential to stress the , for simplification and rationalization of aid instruments with a view to gradual evolution towards direct budgetary support for ACP countries.
There appears to me and to many other people in my country to be a conspiracy of silence on this issue.,conspiracy,conspiracy,false,There appears to me and to many other people in my country to be a , of silence on this issue.
"At its Congress in Toulouse last year, the Group of the European People 's Party demanded that future cooperation should no longer be based so much on colonial links, but on income per head and its distribution, and above all on the willingness of those in government to contribute genuinely to the development of people in their country.",willingness,willingness,true,"At its Congress in Toulouse last year, the Group of the European People 's Party demanded that future cooperation should no longer be based so much on colonial links, but on income per head and its distribution, and above all on the ", of those in government to contribute genuinely to the development of people in their country.
It would be schizophrenic to restrict the acceptance of new members to Cuba of all countries. The pre-conditions have not really been fulfilled there.,pre-condition,pre-conditions,false,It would be schizophrenic to restrict the acceptance of new members to Cuba of all countries. The , have not really been fulfilled there.
"The EU and ACP must reaffirm their partnership by strengthening democracy and respect for human rights, especially the rights of women.",right,rights,false,The EU and ACP must reaffirm their partnership by strengthening democracy and respect for human ,","
Peace is a prerequisite for development; without peace all effort is wasted.,prerequisite,prerequisite,false,Peace is a , for development; without peace all effort is wasted.
Peace is a prerequisite for development; without peace all effort is wasted.,effort,effort,false,Peace is a prerequisite for development; without peace all , is wasted.
"It is also vitally important that developing countries be allowed fair access to the world market place within the WTO, thus helping them to achieve their ultimate goal which is the eradication of misery and poverty in these regions.",goal,goal,true,"It is also vitally important that developing countries be allowed fair access to the world market place within the WTO, thus helping them to achieve their ultimate ", which is the eradication of misery and poverty in these regions.
"It was one of the reasons for the underspending under Lomé and the inaccessibility of Lomé for chambers of commerce, women 's groups and environmental groups in the ACP countries.",reason,reasons,true,It was one of the ," for the underspending under Lomé and the inaccessibility of Lomé for chambers of commerce, women 's groups and environmental groups in the ACP countries."
"Can you, and maybe the Commissioner as well, go into that issue?",issue,issue,true,"Can you, and maybe the Commissioner as well, go into that ",?
There is therefore no question about it: the challenge for Europe after the fall of the Wall is the clarification and restructuring of our relationship with Russia.,question,question,false,There is therefore no , about it: the challenge for Europe after the fall of the Wall is the clarification and restructuring of our relationship with Russia.
"Basically, the question of European security will depend precisely on the success of the balance struck with Russia.",question,question,true,"Basically, the ", of European security will depend precisely on the success of the balance struck with Russia.
"It is another demonstration of the poverty of our common foreign policy that in respect of what is our continent 's key concern, neither a decent joint strategy nor a comprehensive set of ideas can be found in it.",idea,ideas,false,"It is another demonstration of the poverty of our common foreign policy that in respect of what is our continent 's key concern, neither a decent joint strategy nor a comprehensive set of ", can be found in it.
"I think I have made it clear: For the Green Group, there is no doubt that Russia can also become a member of the Union if it wants to.",doubt,doubt,true,"I think I have made it clear: For the Green Group, there is no ", that Russia can also become a member of the Union if it wants to.
"A few days ago, the Russian human rights activist and Duma member Kovaliev expressed his concern about the anti-democratic tendencies which still exist in his country.",tendency,tendencies,false,"A few days ago, the Russian human rights activist and Duma member Kovaliev expressed his concern about the anti-democratic ", which still exist in his country.
He accuses both the old and the new leading elites of contempt for democracy and law.,law,law,false,He accuses both the old and the new leading elites of contempt for democracy and ,.
The European Union must take note of these questions.,question,questions,false,The European Union must take note of these ,.
"We in the European Parliament will approve the relationship with Russia, we want close cooperation, but we shall also pay close attention to, and when necessary issue a reminder about, the reform process in Russia towards a state which operates under the rule of law, respects human rights and establishes a civil society which acts democratically.",reminder,reminder,false,"We in the European Parliament will approve the relationship with Russia, we want close cooperation, but we shall also pay close attention to, and when necessary issue a "," about, the reform process in Russia towards a state which operates under the rule of law, respects human rights and establishes a civil society which acts democratically."
"Take, for instance, the debate about TACIS, about the development of the partnership agreement, about Russian or European internal questions, such as the development of international crime, the rule of law or the tax system in Russia.",question,questions,true,"Take, for instance, the debate about TACIS, about the development of the partnership agreement, about Russian or European internal ",", such as the development of international crime, the rule of law or the tax system in Russia."
"I believe that it is the task of the European Union to encourage the development towards a stable democracy in Russia, but to observe and follow it critically.",task,task,true,I believe that it is the ," of the European Union to encourage the development towards a stable democracy in Russia, but to observe and follow it critically."
"The initiative from the Committee on Women 's Rights exceeded the required number, 314, today.",right,Rights,false,The initiative from the Committee on Women 's ," exceeded the required number, 314, today."
"I ask you, Madam President, on behalf of Parliament to write urgently to the Nigerian authorities to press for respect for this Parliament 's will consistent with human rights law and our February 1998 resolution.",will,will,false,"I ask you, Madam President, on behalf of Parliament to write urgently to the Nigerian authorities to press for respect for this Parliament 's ", consistent with human rights law and our February 1998 resolution.
