corrected_vv,num_linkings,av_len_sent,ls,num_gerunds,der_level3,nv,der_level4,num_inf,ndw,der_level6,num_func_ngrams,num_cl,num_acl,av_tok_before_root,num_sent,num_past_simple,freq_aux,corrected_vs,der_level5,density,num_coord,num_poss,text,class
4.42,29,19.61,0.13,6,0.06,0.14,0.06,28,209,0.06,1,46,10,4.7,23,7,0.63,0.74,0.09,0.52,4,26,"Nowadays the problem of polluting and global warming is becoming more and more topical. That is why people make significant portion of contribution to searching ways to cope with existed situation. It was proven that air transport pollutes the atmosphere more noticeably than other means of transport. So then a lot of people firmly believe that governments should limit air travelling by low restrictions. As for me I totally disagree with above-mentioned view point.
To begin with it is worth mentioning that air travelling has lots of benefits that cannot be substituted by other more or less environmnentalal friendly means of transports. First of all I would point out the time economy which is relevant to be emphasized as one of the proses of air transportation. Law restrictions aimed to limit this sphere  will definitely cause more negative consequences than positive ones. Firstly it will affect the export contribution into governments budjet because such transportation of production will not be possible anymore. It will be caused by limitations of business travelling because mainly consensus concerning exported or imported production can be reachd during formal meeting located in the owner's country. Thus social level of life will fall by the reason of the absence of enough resources.  Finally leisure is as much important as business because it remains level of life stable. People who have opportunity to have a rest in other country have ability to compare and afterwards they work more efficiently and increase the level of productivity. 
However there are some opposite opinions that should be taken into consideration as well. Some people are convinced that above-mentioned problems caused by air travelling limitations do not overweight the consequences of air pollution. Some of them think that we are able to challenge such inconveniences in honour of our future life. Moreover we should think about our future generations and we are responsible for their life conditions.
But as for me future generations can be saved by lots of other ways. I have already proved that in most cases air travelling cannot be substituted. That is why we ought to consider other methods of saving environment involving the contribution of every single person. We should doubtles start the mission of saving the word from ourselves and our own habits.
To put everything in a nutshell I would conclude that limiting air travelling is not the most profitable idea due to wide range of significant negative consequences. There is a great amount of other ways to save the environment we need to focus on.
",7
2.37,5,20.91,0.07,1,0.02,0.15,0.09,17,108,0.16,0,17,5,6.09,11,5,0.8,0.0,0.07,0.49,4,12,"Right now there is  big argument in society about air pollution and global warming, because of the great amount of flights. In one hand, humanity meets a big ecological problem which of course will have an influence on our life in the nearest future. Will people solve this problem before it will be too late or not depend on our behavior right now. So the thoughts about reducing the amount of air travel is kind of logical. But in the other hand it might be not the best solution for concept  many solution. The mobility of modern society became a really important part of our live. And it can be a little bit silly to try to stop this global movement. Maybe we should try to find out other solutions to avoid air pollutions and global warming. For example, such as the improvement of our technologies, we might try to find the faster way for transportation which will not influence on our nature. As a conclusion, I think that air travel affecting air pollution and global warming is a really important problem and subject for discussion. But there might be some other ways to solve this problem than to limit air travel in my opinion the best way is in the new technology apportunities.   
",4
2.87,12,16.06,0.06,4,0.08,0.11,0.08,24,114,0.05,2,28,6,7.17,18,6,0.47,0.11,0.15,0.49,2,15,"The topic about public health is a very debateable question. Some people think that the best way to improve public health is to increase the number of sports facilities. Other say that this would not have a significant effect on the public health and there are better ways to reach it.


To begin with, which results can give the increasing the number of sport facilities. First of all, people prefer different type of sport. Some people like tennis, others like football. If we want to improve public health by increasing sport facilities, we would to build wide different facilities. Then all people can find for themselves the lovely type of sport. 


There are another ways to reach the improving of public health. To begin with government and social organisation should develop the medicine. The high level of medicine. Can provide the high level of public health. If people can get qualified help from medical workers and all medical centre will have a different types of new technology, then public healt will rise.


As for me, in my opinion, every way of improving public health is good. But we should pay attention, that we can get the best results if we combine these ways. In this case, people will take a part in different types of sport to increase own health, but people, who feel disease frequently should be deal with sport under looking of medical workers. 


All things considered, there are many ways to improve public health. Society can reach the best results if it combines all these ways.
",5
3.93,26,34.67,0.13,9,0.03,0.14,0.05,32,182,0.05,2,43,9,5.5,12,4,0.68,0.37,0.1,0.48,11,14,"Whether or not travelling via aircraft should be restricted has been a burning issue for a quite some time now. Some people believe that such travelling harms the ecosystem, others argue that it is imperative that air travelling remains the same and I can understand their point of view. First of all, air travelling is the most efficient way to travel ling distance with the minimum amount of emission into the atmosphere and maximum number of passengers transported. If governments can air travelling or introducing a tax that will make flying unaffordable, people will search other means to travel, which may turn out to be more dangerous to our planet, for example, more cars will be used thus increasing the amount of carbon monoxide in the air. What is more, sometimes air travelling is the only way to get to a specific location, for example, spizbergen or other islands it will take ages to get from spizbergen to main land via ship travelling, non with starding that some ships are not meant to be sailing in cold water icebergs. Moreover, Rescue Teams also use aircraft to quickly transport injured people to the emergency rooms in hospitals or to help firefighters conquer the forest fires. Despite all these fact, some people strongly believe that governments should take action and deal with the amount of air travels in order to protect the environment. Some argue that if you want to travel for pleasure or business you should pay more. It seems that higher prices will commute the damage to the environment. They also think that people will remain within their social areas or their own country and that that with the higher payments less people will travel worldwide. It goes without saying that while some part of this argument is true it is doubtful that air travel will be reduced dramatically, while it is obvious that other means of transport such as cars or trains will be used more, as the result more energy will be consumed and more harmful goes will be thrown in the air. All in all, the issue of restricting air travelling still needs to be thoroughly considered, but I believe that restricting air travelling is not a wise move as it may turn out to be counter productive and consequently, lead to negative results.   
",7
2.21,5,18.27,0.29,2,0.09,0.14,0.02,1,108,0.02,0,15,5,4.0,11,0,0.35,0.47,0.07,0.52,5,11,"The diagram represents percentage marks of three main social networks usage by four key adult age groups. Facebook, Instagram and Linkedin are among these networks.
First two parts (Facebook and Instagram) are showing downward slopping trend. Percent of young men and women differs significantly from the one for aged people. Deteriorating dynamics are noticable especially In terms of Instagram usage. Oppositely, Linkedin graph peaks in the 30-49 reference group and shows smaller results In the youngest and the oldest age groups. Overall trend shows the fall in networks usage from Facebook to Linkedin.
More specifically, decreasing dynamics are most dramatic in Instagram section and are less substantial In Linkedin's one. Facebook usage ramains high even in the oldest age group, while other diagrams start with comparatively low points and end up at low ones. Such trend brings the usage of Instagram almost completely down even beginning with about 50% mark. Occasionally, this trend is not strong in LinkedIn usage - columns do not differ from each other greater than 10% throughout the graph.
",7
2.41,8,39.0,0.1,2,0.11,0.07,0.04,5,97,0.02,1,19,2,11.71,7,1,0.55,0.45,0.02,0.32,6,23,"﻿The information given illustrates the highest and the lowest average temperatures in Rio de Janeiro, Brazil and Yakutsk, Russia.The data are provided in Celcius per month.
It can be deduced from the first graph that the average maximum temperature in Rio de Janeiro reaches 30 C in January and falls to approximately 25 C in July and then with small shifts begins to go up to the same level of about 30 C in December. As for the average minimum temperature in this city, it can be stated that it slowly decreases from January, when it is about 23 C, to July (about 17 C) and increases to approximately 22 C in December.
Speaking of the average maximum and minimum temperatures in Yakutsk, it can be noticed that a rapid rise from about -35 C in January to about 25 C in July is followed by a dramatic decrease back to approximately -35 C in December. At the same time, in January the average minimum temperature usually reaches -40 C, goes up to about 12 in July and falls to -40 in December.
Overall, after analyzing the information provided it can be stated that in Rio de Janeiro, Brazil, the shifts in the average maximum and minimum temperatures thoroughout the year follow the same pattern with a small decrease from January to July and a smal increase in the later period; a rapid change in the temperatures is witnessed with a noticible increase of it by July and a noticeble fall by December.",7
2.01,5,17.17,0.14,0,0.05,0.17,0.09,3,70,0.05,0,11,0,4.17,6,0,0.4,0.22,0.14,0.5,3,3,"There is no doubt how many people, so many opinions. Some of people believe, that downlond music, films from the internet can be dangerous for musicians and film producers, because they can lost their money. And I totally agree with this opinion. Let’s talk about it.
Firstly, official music is always very expensive. For example, special online market for Iphone Itenes sell one sign for 0,5-2 dollers Many people, especially children and teenagers haven’t money for this music, but they want listen good music
Secondly, 
",3
2.18,8,22.21,0.18,1,0.03,0.14,0.06,14,137,0.09,2,36,5,5.14,14,2,0.53,0.24,0.06,0.47,8,13,"Nowadays it is a normal practice for modern people to travel. The fastest way to travel anywhere is to travel by plane. But there is one issue that makes travelling by plane ecological unfriendly, one plane pollute air as thousand cars. The questio is if it is beneficial to us, humans to travel by planes or we have to reduce the amount of air travel as it will to a disaster in future. 

I agree with the position that air travel and the usage of planes should be reduced. First of all, the ecological situation on our earth is cticical. We destroy forests which produce oxygen for our lives and which can filtrate and reduce the proportion of harmful gases and CO2 in the atmosphere. And when we travel by plane, we make an extra pollution which can lead to some ozon holes in the atmosphere which can destroy the life on the earth. Secondly, there are thousands of planes in the air each second. Some of them are even without passangers or half-full with them which also leads to extra pollution without any sceme.


However, some people claim that cars and factories produce much more pollution and planes are more ecofriendly then other transport because there are no so many of them. I disagree with such people because in comparison with 20 years ago, today there are much more planes and plane manufacturs still want to better the characteristics of their products but not to reduce their emissions.

To sum up, I am sure that we should reduce and controll air travelling because it is too harmful for our planet. I think that the best way to reduce emitions is to make eco-friendly planes.
",7
2.01,3,22.55,0.25,1,0.06,0.1,0.0,4,93,0.09,0,15,1,7.45,11,3,1.2,0.67,0.0,0.32,4,15,"The bar-charts illustrate the data on the print and eBook market in 2014 and for the future year 2018 in the USA, Germany, China and the UK. It can be deduced from the graph that the creteria of print in 2014 was bigger than ebook in similar year.
The state of print in 2014 in the USA was 10.5 whereas it was less for other countries, Germany - 6, China 4.8 and the UK 2.6. The forcast for 2018 in these countries manifest a slight decrease in print sphere: 7.5 - for the USA, 4,2 - China, the UK - 2 but stays stable for Germany - 6.
The e-book sphere in book market is less developed. Its proportions of the bar-charts are less significantly for all countries in 2014 The bar-charts reflect such points: 5.5 for the USA, 1 for Germany, 0,9 - China and 1.8 - for the UK. The future forecast of e-books shows increasing demand on this sphere of book market. In the USA it will rocket by 5.0 points. Gemany'll show the increase by 0,5. Such situation will possibly take place in China and the UK (0.5)
Overall, in 2014 prints were more preferable but according to the forecast on 2018, e-books will be in demand.
",6
2.76,5,23.6,0.08,2,0.09,0.13,0.11,1,117,0.09,0,13,7,3.8,10,9,0.07,0.13,0.0,0.47,7,16,"The given line graph depicts the amount of money spent on renewable energy between 2006 and 2013 by the whole world wide. The bar chart presents information about two groups of countries: developed and developing. As for as the line graph in concerned, the investment experienced a rapid growth during the first 2-year-period from 100 $ bn to 171 $ bn. This was followed by a slight drop in the year 2009. But then trend recovered and rocketed to 279 billions, reaching a peak of investment in renewable energy. Next came a rapid and remarkable fall to the level of 214 $ bn. What about the bar chart, the data about developed countries absolutely copies the world trend. Their investment saw a moderate increase firstly, dipped a little jumped to the peak of about 180 $ bn and went down significantly to the point of 214. Developing countries showed continuous growth reaching a peak in 2012, as opposed to developed countries’ peak in 2011, and then started to fall. Overall, what stands out from the figures is that not only apparently developed countries spent more money on renewable energy sources than developing ones, but also that world total investment in this area correlated with countries of developed level in a considerable way. 
",7
3.62,19,43.0,0.06,4,0.03,0.12,0.08,25,162,0.05,2,40,5,13.75,8,2,0.66,0.21,0.09,0.46,9,13,"﻿Nowadays, youth crime is a significant issue in modern life, often dwellers are afraid just to go for a walk because sometimes it is really dangerous and the biggest threat is teenagers who do crimes without any thoughts about future consiquences.

There are a huge amount of causes why young people do crimes. First of all, I suppose that the main reason why the crime activity develops between teenagers is the lack of attention from their parents and teachers, may be they just want to pay that very attention by doing crimes. For instant, children even can become a murder at the age of 15 because they want to be noticed. I consider that it is really importatnt and grown-ups should help young people who has such thoughts.The second reason is different movies about violence and crime.They give children an understanding about the fact that to be a robber or a murder it is normal and then at the everything will be OK , but it is a movie, in real life it is much more serious.

I really believe that parents and teachers need to fight with these causes for example they should respect the children, try them to understand what is good and bad, pay attention to them to everyone individual method of behavior, especially if young person have some problems in family or at school and also go to psychologist with him and not allow to watch TV being a small child.

In my point of view, I am sure that adults need to help youth to deal with their problems and then I guess the youth crimes will be reduced. Moreover, it is also a duty to the government to help children since they go to school by including a program at school which is about how to behave and make them do different acvivities which take their time and they will not even think about doing something awfull.",6
2.55,6,16.89,0.14,0,0.03,0.16,0.03,6,78,0.03,0,13,1,4.78,9,2,0.69,0.78,0.0,0.46,5,4,"Air travel has been preven to contribute greatly to air pollution and global warming. As a lot of air travel is unnecessary, governments should introduce laws to reduce the amount of air travel for business and leisure. This them very actuality now, because air travel very popular of a modern people. I agree, because health Worlds it is major problem modern people. We not save nature an she is die. People not vision this and not stoped in the killing “mother nature”. Air – this one part nature, air help people life… or people must have a the air for self life. I think what this answer very stupid because it is just all world, and world – this we. Problems world this is and your problem, but your problems not problems of worlds.
",3
3.38,7,18.0,0.11,4,0.05,0.16,0.05,18,134,0.09,1,24,2,5.56,16,4,0.5,0.12,0.1,0.51,5,18,"Nowadays, almost everyone has ever tried to travel by plane this way of travelling became very common. However it contributes great harm to the nature, especially to air, that it is why some people believe that goverments should control the traffic of air travelling by special laws. I strongly agree with this point of view and in this essay I will explain why.

First of all, almost all modern scientists are very worried about ecological situation in the world. In order to save our planet many organizations try to control air pollution by different methods. In this case, it is important to use the power of government for helping our Earth. If governments introduce special laws, it will support ecological organizations in fighting with pollution and global warming very much.

Moreover, the main goal of the government is to care about people. In this case, it is try to make everything to provide more pure atmosphere and clean air. This changes will positively influence on the level of health and amount of births.

Finally, controlling the traffic of planes by government will show people the real situation in worldwide ecology system. Everyone will understand that this problem went to a new level – level of the President. It will motivate people to be more careful: keep the air clean and do not make streets dirty.

To conclude, air pollution and global warming is one of the main issues of a modern society. In order to save the ecological situation governments should try any methods include introducing special laws for air-companies. 
",8
2.37,11,23.56,0.14,6,0.04,0.15,0.06,5,104,0.02,0,15,7,7.0,9,4,0.65,0.0,0.08,0.43,5,12,"The provided bar charts compares the information about users’ gadget for using Facebook and their aims. From the bar chart it is clear that the from 2012 to 2013 majority of people used their desktop computers in order to explore Facebook in March, 2012, though this number had decreased from 150 millions to 135 millions by March, 2013. Unlike the desktop, the number of mobile users almost was doubled from 55 millions to 95 millions per year. It can be seen from the second bar chart tht men and women have a different aims for exploring Facebook. For example, about 54% of men prefer sending media, such as photo and video, meanwhile only 39% of women do. As can be observed getting updates is equally popular among both men and women. However, using Facebook for fun and learning about possibilities to help others is still more typical for men. To conclude, it can be noticed that the distribution of main gadget for exploring Facebook was marginally changed for period from 2012 ro 2013. What is more the sex affects on the aim for using social net.
",7
2.06,10,21.88,0.12,0,0.0,0.13,0.07,3,85,0.02,0,13,6,5.0,8,1,0.65,0.17,0.02,0.46,8,14,"The presented charts depict the proportion of the goods transported by rail and road between countries in Eastern Europe in 2008.
As can be seen from the charts, there are differenses between two methods of transportation. Metals account for approximately one third of goods transported by rail whereas only 11% of goods transported by road are metals. Manufactured goods are delivered by rail and road in a huge amount and make up 25% and 28%, respectively. The enormous difference can bee seen in food products that constitute 30% of goods transported by road while rail transportations of food are three times less. Machinery is prefered transporting by rail rathan than by road and amounts 12% and 2%, respectively. The proportions of chemicals and non-metallic minerals are higher through transport there by road.
To conclude, it should be added that the main differences between ways of transportation are seen at metals, machinery and food products.
",7
3.54,14,27.33,0.12,6,0.01,0.11,0.1,26,165,0.06,4,41,2,7.27,15,9,0.61,0.71,0.12,0.44,4,17,"In modern sport industry more and more common because the use of illegal drugs by sportsmen to show belter results on competition. According to that fact, two points of view appeard: one people believe that it is right to ban such athletes from competing for a limited period, while others insist on banning them for the rest of their lives. Both views are popular nowadays, but who is right?
First of all, we should research how the use of illegal drugs affects human organism. People, who stand for permanent ban often claim that drugs cause changes in human health, that cannot be reversed. So even those sportsmen, who used to do drugs but then stopped have a serious benefits and can show better results than those who never even tried illegal drugs. According to that, it is undebatable, that we should ban those people, but if it is not right, we don't have a clear reason to disqualify them for the rest of their lifes.
Never the less, it is obvious than people who use illegal drugs to win controdict the idea of competitive sport itself, where everyone is eiqual and training an will age the most important things to succeed. I do not think, that we should allow people, who once betrayed the idea of sport, to take part in competition. On the other hand, just as any criminal can change and be the normal member of society, sportsmen who were cought on doing drugs should be given a chanse to change their attitude to sport.
And the last, but not the least is the fact, that not everyone who uses illegal drugs even know about it. There are some cases, when sportsmen were treated with drugs by their trainers or even doctors without even understending it. So, according to this, we can't know if someone used drugs by his will or not, so punishment should not be permanent.
To sum up, I'd like to say, that there is no doubt that using illegal drugs is a serious crime in sport, but we can't ban people permanently without knowing every aspect of their situation, which is impossible.
",6
1.57,6,23.2,0.12,0,0.03,0.14,0.03,2,63,0.0,1,8,4,6.6,5,0,0.6,0.45,0.07,0.45,1,8,"The two pie charts illustrate the percentage of different kinds of goods transported by rail and road in Eastern Europe in the year 2008.
First of all, it is obvious from the diagram that metals are prefered to be transported by rail while food products prevail in transportation by road. More than that, one of the most noticible features of the pie charts is that the percentage of manufactured goods is almost equal and the difference make up only 3%. Moreover, the percentage of machinery transported by rail exceed sixfold the same figure of the second chart. Besides, the third goods transported by road is chemicals.
",5
2.04,10,15.83,0.13,1,0.03,0.11,0.15,3,86,0.06,0,15,1,6.58,12,1,1.0,0.41,0.0,0.36,5,7,"I’m going to describe the main information from the chart below. First of all, it is clear that the leader is – N.Africa, the unemployment rate here is 12,5%. Besides, the number is the same as in 2014. Instead of N.Africa, S.Asia and Worldwide’ percents are also not changed. However, in the Middle East and Latin America we can see positive changes. Percent of unemployment rate of this regions has fallen. Unfortunately, in Europe there is opposite situation. The level has risen a little bit, from 7,5% to 7,9%. Further more, we can clearly see that the least percent of unemployment rate has S.Asia, only 3,9, and this number did not changed from 2014 to 2015. And the biggest number of unemployed people have N.Africa and Middle East. Europe and Latin America are in the middle. 

To sum up, the chart below gives the full picture of unemployment rate in world regions in 2014 and 2015.
",6
3.41,17,19.71,0.17,1,0.02,0.14,0.05,19,177,0.03,1,47,6,3.92,24,16,0.59,0.75,0.05,0.48,32,22,"In 21 century the science go forward. Internet, social media, social networks are important are important part of human life. With help of them people could communicate. Watch news and videos. Improvements of hi-teck has not all positive, but also negative sides. With help of social networks and web-sites people all around the world could copy films and music and watch or hear it illegal.
There are two main points of view. The first is supported by musicians, actors and producers, which loose money from piracy in internet. They spend money for creating films and music and they want to earn more. There were many situations, when pirates downloaded films in internet before the premier and film-makers lost some money because people watched it in internet. Some pirates created online cinemas, where people could see films free. Pirates earned money from advertising.  Film-makers and lingers think, that the government schould control the internet and protect property rights of people, who create films and music.
There is also opposite point of view, which is supported by some internet-users and politicians in western countries. They think, that government or police couldn’t affect on internet, because it is free and private space for people all changed the world. Film makers and producers want to earn more money, but people mustn’t pay for their mistakes. Also internet-activists think, that some producers are simply greedy and because of that they want destroy the rules of global network. In many european countries Ycealand, Poland, Germany, Sweden, Finland and other created pirate-parties. These anti-sistem movements protest against the rights of capitalism and global market. Activists from these parties supported internet users and thought that all people all around the world have the right to make in internet everything, that they want. Some of these parties won parlament seats in Europe.
To conclude, I’ed like to say, that producers or film-creators and internet users must create an agreement, which would not only protect their property rights, but also will be comfortable for internet users. If creators will download their intellectual property in internet and users will pay not so much money for it, it would be practically comfortable not only for singers and film-creators, but also for internet-users. Of course, it is not easy to reach the compromise between these communities, but if they would like to fiant the negotiations, it will be useful for all people – for creators and for users.
",6
